"azonosito","nev","kod","datum","kezdoenek","konyorges","felajanlo","prefacio","aldozasi","aldozasutani"
"83","Jézus Szentséges Szíve - 2023","1","00-08-aa","Misekönyv 405. oldal<br>
Szívének gondolata nemzedékrôl nemzedékre,
megmenti lelküket a halálból,
és táplálja őket ínség idején. (Zsolt 32,11.19)
<i>vagy</i><br>
Misekönyv 1000. oldal<br>
Szívének minden szándéka
nemzedékről nemzedékre,
hogy megmentse a haláltól lelküket
és éhségükben táplálja őket.
(Zsolt 32,11.19)","Misekönyv 406. oldal<br>
Mindenható Istenünk,
dicsőítve magasztaljuk szeretett Fiad Szívét,
és megemlékezünk arról,
hogy mennyi jótéteménnyel mutatta meg
szeretetét irántunk.
Add, hogy ajándékaid mennyei forrásából,
elnyerjük bőven áradó kegyelmedet.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.
<i>Vagy</i><br>
Istenünk, te szent Fiadnak
bűneink miatt megsebzett Szívében
nagy irgalmassággal megnyitottad
szereteted végtelen kincstárát;
add, kérünk, hogy amikor
hűséges szeretetünk hódolatát bemutatjuk neki,
a méltó elégtétel köteles adóját is lerójuk iránta.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.
<i>Vagy</i><br>
Misekönyv 1000. oldal<br>
Urunk, Istenünk,
öltöztess minket egyszülött Fiad erényeibe,
és gyújtsd lángra bennünk az ő Szívének szeretetét,
hogy képmására alakuljunk, és részesüljünk
a megváltás örökké tartó örömében.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Misekönyv 406. oldal<br>
Kérünk, Istenünk,
tekints szeretett Fiad kimondhatatlan szeretetére,
hogy amit most neked felajánlunk,
legyen kedves előtted,
és bűneinkért nyújtson engesztelést.
Krisztus, a mi Urunk által.

<i>vVagy</i><br>
Misekönyv 1000. oldal<br>
Istenünk, irgalmas Atyánk,
te végtelenül szeretsz minket,
ezért kimondhatatlan jóságoddal
egyszülött Fiadat nekünk ajándékoztad.
Add meg, kérünk, hogy vele eggyé forrva
méltóképpen ajánljuk fel adományunkat.
Krisztus, a mi Urunk által.","Misekönyv 406-407. oldal<br>
<i>Krisztus mérhetetlen szeretetéről</i><br>
Az Úr legyen veletek.
  H.: És a te lelkeddel.<br>
Emeljük föl szívünket.
  H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek.
  H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható örök Isten:
– Krisztus, a mi Urunk által.
<br>
Ő csodálatos szeretetből életét áldozta,
– s a keresztfán magasba emelve
odaadta önmagát értünk;
majd vér és víz ömlött sebhelyéből, 
mely átszúrt oldalán nyílott,
hogy onnét jöjjenek létre a szentségek, 
melyekkel Egyházát élteti,
és mindenki vonzódjék az Üdvözítő feltárt Szívéhez,
– mindig örömmel merítve az élet Vizéből,
melyet az üdvösség forrása bőséggel áraszt.
<br>
Most ezért a szentekkel és minden angyallal együtt
– dicsőítünk Téged
és vég nélkül mondjuk (zengjük):
","Misekönyv 407. oldal<br>
Így szól az Úr:
Aki szomjazik, jöjjön hozzám, és igyék.
Aki hisz bennem,
belsejébôl élő víz forrásai fakadnak.
<br>
<i>Vagy:</i><br>
Az egyik katona
lándzsájával megnyitotta (Jézus) oldalát,
nyomban vér és víz folyt ki belôle.
(Vö. Jn 7,37–38)<br>
<i>vVagy</i><br>
Misekönyv 1001. oldal<br>
Így szól az Úr:
Aki szomjazik, jöjjön hozzám és igyék.
Aki hisz bennem,
annak belsejéből élő víz folyói fakadnak.
(Vö. Jn 7,37-38)<br>
<i>Vagy:</i><br>
Az egyik katona lándzsájával
megnyitotta (Jézus) oldalát.
Azonnal vér és víz folyt ki belőle.
(Jn 19,34) ","<i>vVagy</i><br>
Misekönyv 1001. oldal<br>
Szereteted szentségében részesültünk, Istenünk.
Könyörögve kérünk, hogy Krisztushoz
hasonlóvá legyünk a földön, és egykor
dicsőségében is részesedjünk a mennyben.
Aki él és uralkodik mindörökkön örökké."
"84","Adventi köznapok - december 17.","2","12-17","Örvendjen az ég és ujjongjon a föld,
mert Urunk érkezik,
hogy megkönyörüljön szegényein. (Vö. Iz 49,13)","Teremtő és megváltó Istenünk,
akinek akaratából a Szűzanya méhében
testet öltött az örök Ige,
méltasd figyelemre kérésünket.
Engedd, hogy egyszülött Fiad,
aki emberi életünket vállalta,
adjon részt nekünk isteni életéből.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Szenteld meg, Istenünk, Egyházad adományait,
és engedd, hogy e szent áldozat által
a mennyei kenyér erőt adjon nekünk az új életre.
Krisztus, a mi Urunk által.","<i>Krisztus kettős várása
<br>
30. A következő prefációt december  17-e és 24-e közötti időszaki misékben mondjuk, valamint az ugyanebben az időben végzett egyéb misékben, amelyeknek nincs saját prefációjuk.</i><br><br>

Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.<br>

Őt előre hirdette a próféták szózata,
és kimondhatatlan szeretettel hordozta a Szűzanya,
az ő közeledtét jelezte Keresztelő János,
–    majd bizonyságot tett ARról,
  hogy már hozzánk érkezett.
Ő megadja nekünk, hogy születésének ünnepét örvendezve várjuk,
–    és így imádságban VIRrasztva,
  dicséretében ujjongva találjon minket.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Íme, eljön, akit várva várnak a nemzetek,
és dicsőség tölti be az Úr házát. (Vö. Agg 2,8)","Mennyei ajándékaiddal betelve,
kérünk, mindenható Istenünk:
töltsön el minket a vágy,
hogy Szentlelked által lángra gyúlva,
mint tiszta fény, úgy ragyogjunk az eljövendő Krisztus előtt.
Aki él és uralkodik mindörökkön örökké."
"85","Adventi köznapok - december 18.","2","12-18","Eljön Krisztus, a mi Királyunk,
az eljövendő Bárány, akit Keresztelő János hirdetett.","Mindenható Istenünk,
a bűn szolgaságra vetett minket,
és így ősidők óta igája alatt görnyedünk.
Engedd, hogy Fiad születésének várva várt ünnepe
szabaddá tegyen minket.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk,
a szent áldozat, amelyet most neked bemutatunk,
tegyen kedvessé minket színed előtt,
hogy részesüljünk Fiad örök életében,
aki halandó természetünket magára véve, meggyógyította azt.
Aki él és uralkodik mindörökkön örökké.","<i>Krisztus kettős várása
<br>
30. A következő prefációt december  17-e és 24-e közötti időszaki misékben mondjuk, valamint az ugyanebben az időben végzett egyéb misékben, amelyeknek nincs saját prefációjuk.</i><br><br>

Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.<br>

Őt előre hirdette a próféták szózata,
és kimondhatatlan szeretettel hordozta a Szűzanya,
az ő közeledtét jelezte Keresztelő János,
–    majd bizonyságot tett ARról,
  hogy már hozzánk érkezett.
Ő megadja nekünk, hogy születésének ünnepét örvendezve várjuk,
–    és így imádságban VIRrasztva,
  dicséretében ujjongva találjon minket.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Emmánuelnek fogják nevezni,
ami annyit jelent: Velünk az Isten. (Mt 1,23)","Urunk, Istenünk,
add, hogy befogadjuk lelkünk templomába irgalmas Üdvözítőnket,
és így megváltásunk közelgő ünnepére
méltó tisztelettel készüljünk.
Krisztus, a mi Urunk által."
"86","Adventi köznapok - december 19.","2","12-19","Jön már, akit várunk, nem késlekedik,
és nem lesz többé félelem határainkon,
mert ő a mi Szabadítónk. (Vö. Zsid 10,37)","Istenünk, a te dicsőséged ragyogó fénye áradt ránk,
amikor Fiad e világra született a Szent Szűztől.
Segíts, kérünk, hogy a megtestesülés nagy titkát
mindig teljes hittel valljuk,
és áldozatos odaadással ünnepeljük.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk, tekints irgalmas szemmel
áldozati adományainkra,
amelyeket oltárodra helyezünk,
és szenteld meg isteni erőddel,
amit mi, gyarló emberek felajánlunk.
Krisztus, a mi Urunk által.","<i>Krisztus kettős várása
<br>
30. A következő prefációt december  17-e és 24-e közötti időszaki misékben mondjuk, valamint az ugyanebben az időben végzett egyéb misékben, amelyeknek nincs saját prefációjuk.</i><br><br>

Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.<br>

Őt előre hirdette a próféták szózata,
és kimondhatatlan szeretettel hordozta a Szűzanya,
az ő közeledtét jelezte Keresztelő János,
–    majd bizonyságot tett ARról,
  hogy már hozzánk érkezett.
Ő megadja nekünk, hogy születésének ünnepét örvendezve várjuk,
–    és így imádságban VIRrasztva,
  dicséretében ujjongva találjon minket.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Eljön hozzánk felkelő Napunk a magasságból,
hogy lépteinket a békesség útjára vezérelje. (Lk 1,78-79)","Hálás szívvel köszönjük ajándékaidat, mindenható Istenünk.
Add kegyelmedet, hogy az eljövendő javakra vágyakozzunk,
és Üdvözítőnk születésének ünnepére
megtisztult lélekkel készüljünk.
Krisztus, a mi Urunk által."
"87","Adventi köznapok - december 20.","2","12-20","Vessző kél majd Izáj törzsökéből,
és Isten dicsősége betölti a földet:
minden ember meglátja a Szabadítót,
akit Isten küldött. (Vö. Iz 11,1; 40,5; Lk 3,6) ","Istenünk, az angyali üdvözletkor
a te végtelen, örök Igédet
úgy fogadta a Szeplőtelen Szűz,
mint Isten szent temploma,
melyet elárasztott a Szentlélek fénye.
Engedd, kérünk, hogy példáját követve
alázattal vállaljuk szent akaratod teljesítését.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk, tekints Fiad egyetlen áldozatára,
hogy annak szent titkában részesedve
elnyerhessük az üdvösséget,
amelyben hiszünk és amelyet reménykedve várunk.
Krisztus, a mi Urunk által.","<i>Krisztus kettős várása
<br>
30. A következő prefációt december  17-e és 24-e közötti időszaki misékben mondjuk, valamint az ugyanebben az időben végzett egyéb misékben, amelyeknek nincs saját prefációjuk.</i><br><br>

Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.<br>

Őt előre hirdette a próféták szózata,
és kimondhatatlan szeretettel hordozta a Szűzanya,
az ő közeledtét jelezte Keresztelő János,
–    majd bizonyságot tett ARról,
  hogy már hozzánk érkezett.
Ő megadja nekünk, hogy születésének ünnepét örvendezve várjuk,
–    és így imádságban VIRrasztva,
  dicséretében ujjongva találjon minket.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Az angyal így szólt Máriához:
Íme, gyermeket fogansz, fiút szülsz,
és Jézusnak fogod elnevezni. (Lk 1,31) ","Kérünk, Istenünk, hatalmad oltalmazzon minket,
akiket mennyei adományaiddal táplálsz,
hogy szentségedben részesedve
igaz békességnek örvendjünk.
Krisztus, a mi Urunk által."
"88","Adventi köznapok - december 21.","2","12-21","Csakhamar eljön Urunk és Királyunk:
neve Emmánuel lesz,
mert ő a velünk lakó Isten. (Vö. Iz 7,14;8,10)","Urunk, Istenünk, hallgasd meg kegyesen néped kérő imáját.
Örvendezve várjuk Egyszülöttedet,
aki emberi testben eljött közénk.
Add, hogy amikor dicsőségben újra eljön,
elnyerjük tőle az örök élet jutalmát.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk,
fogadd tetszéssel Egyházad áldozati adományait,
amelyeket a te jóvoltodból hozunk színed elé.
Kérünk, változtasd át üdvösséget adó áldozattá.
Krisztus, a mi Urunk által.","<i>Krisztus kettős várása
<br>
30. A következő prefációt december  17-e és 24-e közötti időszaki misékben mondjuk, valamint az ugyanebben az időben végzett egyéb misékben, amelyeknek nincs saját prefációjuk.</i><br><br>

Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.<br>

Őt előre hirdette a próféták szózata,
és kimondhatatlan szeretettel hordozta a Szűzanya,
az ő közeledtét jelezte Keresztelő János,
–    majd bizonyságot tett ARról,
  hogy már hozzánk érkezett.
Ő megadja nekünk, hogy születésének ünnepét örvendezve várjuk,
–    és így imádságban VIRrasztva,
  dicséretében ujjongva találjon minket.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Boldog vagy, Mária, mert hitted,
hogy beteljesedik mindaz,
amit az Úr mondott neked. (Lk 1,45) ","Istenünk, a mennyei eledelben való részesedés
legyen népednek állandó védelmére,
hogy fölségednek teljesen átadva magát,
teste-lelke bőségesen megkapja üdvözítő kegyelmedet.
Krisztus, a mi Urunk által."
"89","Adventi köznapok - december 22.","2","12-22","Emeljétek fel fejeteket, kapuk,
táruljatok föl, örök kapuk:
a dicsőség királya bevonul. (Zsolt 23,7)","Istenünk, te megszántad az embert,
amikor bukásával halált érdemelt,
és úgy határoztál,
hogy Egyszülöttedet küldöd megváltásunkra.
Add, kérünk, hogy akik alázatos szívvel valljuk
a megtestesülés titkát,
részesedjünk a megváltás kegyelmében.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Hűséges szeretetedben bízva, Istenünk,
ajándékokkal sietünk szent oltárodhoz,
hogy kegyelmed által megtisztulva
javunkra váljék ez az üdvösséges áldozat,
amelyet most neked bemutatunk.
Krisztus, a mi Urunk által.","<i>Krisztus kettős várása
<br>
30. A következő prefációt december  17-e és 24-e közötti időszaki misékben mondjuk, valamint az ugyanebben az időben végzett egyéb misékben, amelyeknek nincs saját prefációjuk.</i><br><br>

Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.<br>

Őt előre hirdette a próféták szózata,
és kimondhatatlan szeretettel hordozta a Szűzanya,
az ő közeledtét jelezte Keresztelő János,
–    majd bizonyságot tett ARról,
  hogy már hozzánk érkezett.
Ő megadja nekünk, hogy születésének ünnepét örvendezve várjuk,
–    és így imádságban VIRrasztva,
  dicséretében ujjongva találjon minket.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Magasztalja az én lelkem az Urat,
mert nagyot tett velem a Hatalmas. (Lk 1,46.49)","Urunk, Istenünk,
erősítsen minket Fiad szent testének vétele,
hogy közelgő Megváltónk elé
méltó jó cselekedetekkel járuljunk,
és megkapjuk az örök boldogságot.
Krisztus, a mi Urunk által."
"90","Adventi köznapok - december 23.","2","12-23","Gyermek születik nekünk,
és az ő nevét így hívják: Erős Isten.
Áldást nyer benne a föld minden nemzetsége. (Vö. Iz 9,6; Zsolt 71,17)","Mindenható, örök Isten,
Fiad földi születésnapjára készülve
egyre közelebb jutunk Karácsony ünnepéhez.
Kérünk, hogy irgalmazzon nekünk az örök Ige,
aki Szűz Máriától testté lett, és köztünk élt.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk,
szolgáljon tökéletes engesztelésül ez az áldozat,
amelyben az istentisztelet teljessége rejlik számunkra,
hogy Megváltónk érkezését
megtisztult lélekkel ünnepeljük.
Krisztus, a mi Urunk által.","<i>Krisztus kettős várása
<br>
30. A következő prefációt december  17-e és 24-e közötti időszaki misékben mondjuk, valamint az ugyanebben az időben végzett egyéb misékben, amelyeknek nincs saját prefációjuk.</i><br><br>

Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.<br>

Őt előre hirdette a próféták szózata,
és kimondhatatlan szeretettel hordozta a Szűzanya,
az ő közeledtét jelezte Keresztelő János,
–    majd bizonyságot tett ARról,
  hogy már hozzánk érkezett.
Ő megadja nekünk, hogy születésének ünnepét örvendezve várjuk,
–    és így imádságban VIRrasztva,
  dicséretében ujjongva találjon minket.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Nézd, az ajtóban állok és kopogok.
Aki meghallja szavam és ajtót nyit,
bemegyek hozzá, vele eszem, ő meg énvelem. (Jel 3,20)","Istenünk, mennyei eledellel tápláltál minket.
Kérünk, ajándékozz meg irgalmasan a te békéddel,
hogy szeretett Fiad eljövetelekor
égő lámpákkal méltóképpen vonuljunk eléje.
Aki él és uralkodik mindörökkön örökké."
"91","Adventi köznapok - december 24.","2","12-24","<i>Reggeli misén</i><br>
Íme, elérkezett már az idők teljessége,
amikor Isten elküldte Fiát a földre. (Vö. Gal 4,4)","Kérünk, Urunk, Jézus,
siess és ne késlekedjél!
Eljöveteled vigasztaló öröme töltsön el minket,
akik szerető jóságodban bízva bízunk.
Aki élsz és uralkodol az Atyaistennel és a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk,
fogadd jóságosan neked felajánlott adományainkat,
hogy általuk elnyerjük bűneink bocsánatát,
és Fiad dicsőséges eljövetelét
tiszta lélekkel várjuk.
Aki él és uralkodik mindörökkön örökké.","<i>Krisztus kettős várása
<br>
30. A következő prefációt december  17-e és 24-e közötti időszaki misékben mondjuk, valamint az ugyanebben az időben végzett egyéb misékben, amelyeknek nincs saját prefációjuk.</i><br><br>

Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.<br>

Őt előre hirdette a próféták szózata,
és kimondhatatlan szeretettel hordozta a Szűzanya,
az ő közeledtét jelezte Keresztelő János,
–    majd bizonyságot tett ARról,
  hogy már hozzánk érkezett.
Ő megadja nekünk, hogy születésének ünnepét örvendezve várjuk,
–    és így imádságban VIRrasztva,
  dicséretében ujjongva találjon minket.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Áldott az Úr, atyáink Istene,
mert meglátogatta népét és megváltotta. (Lk 1,68)","Urunk, Istenünk,
a szentáldozásban felüdültünk a te csodálatos ajándékod által.
Add, hogy mi,
akik szent Fiad születésének tiszteletre méltó ünnepét várjuk,
az ő örök ajándékaiban is örvendező szívvel részesedjünk.
Aki él és uralkodik mindörökkön örökké."
"92","Urunk születése: Karácsony – Vigília mise","1","12-25a","Ma megtudjátok, hogy eljön az Úr, és üdvözít minket,
holnap pedig meglátjátok dicsőségét. (Vö. Kiv 16,6-7)","Istenünk, te évről évre megörvendeztetsz minket azzal,
hogy Fiad eljövetelének ünnepére készülhetünk.
Add, hogy mi, akik Egyszülöttedet
	nagy örömmel fogadjuk mint Megváltónkat,
nyugodt lélekkel láthassuk meg őt mint Bíránkat,
	amikor eljön.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk, add kegyelmedet,
hogy buzgó szívvel készüljünk szent Karácsony ünnepére,
mert ez az ünnep nyitja meg nekünk megváltásunk forrását.
Krisztus, a mi Urunk által.","<i>A misekönyv három prefációt közöl, ebből az elsőt vettük.<br>
Krisztus a fény<br>
<br>
31. A következő prefációt Urunk születése (Karácsony) főünnepének és nyolcadának miséin mondjuk; Urunk születésének nyolcadában azokban a misékben is, amelyek különben saját prefációjuk lenne, azon misék kivételével, amelyek az isteni titkokról vagy személyekről szólnak; továbbá a karácsonyi idő köznapjain.</i>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.
<br>
(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.
<br>
Az Ige megtestesülésének titka által
(a te) dicsőséged új fénye ragyogott föl nekünk,
–    hogy amikor látható alakban ismerjük meg az IStent,
  a láthatatlan világ szeretetére gyulladjunk általa.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Megnyilvánul előttünk az Úr dicsősége,
és meglátja minden ember üdvözítő Istenünket. (Vö. Iz 40,5)","Urunk, Istenünk, töltsön el minket új erővel
egyszülött Fiad születésének ünnepe,
mert Karácsony kegyelméből kaptunk
szentségi ételt és italt.
Krisztus, a mi Urunk által."
"93","Urunk születése: Karácsony – Éjféli mise","1","12-25b","Így szólt hozzám az Úr:
Fiam vagy nekem, ma adtam neked életet. (Zsolt 2,7)
<br><br><i>Vagy:</i><br>
Örvendezzünk az Úrban mindnyájan,
mert megszületett Üdvözítőnk:
ma szállott közénk a mennyből az igazi békesség.","Istenünk,
te az igaz világosság felragyogásával tetted fényessé
ezt a legszentebb éjszakát.
Kérünk, hogy akik Fiad megtestesülésének
	tündöklő titkát megismertük a földön,
az ő örömeit is elnyerjük a mennyben.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk, fogadd kegyesen mai ünnepi áldozatunkat,
hogy az itt megvalósuló titokzatos csere által
eljussunk Üdvözítőnk dicsőségére,
akiben emberségünk már egyesült az istenséggel.
Aki él és uralkodik mindörökkön örökké.","<i>A misekönyv három prefációt közöl, ebből az elsőt vettük.<br>
Krisztus a fény<br>
<br>
31. A következő prefációt Urunk születése (Karácsony) főünnepének és nyolcadának miséin mondjuk; Urunk születésének nyolcadában azokban a misékben is, amelyek különben saját prefációjuk lenne, azon misék kivételével, amelyek az isteni titkokról vagy személyekről szólnak; továbbá a karácsonyi idő köznapjain.</i>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.
<br>
(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.
<br>
Az Ige megtestesülésének titka által
(a te) dicsőséged új fénye ragyogott föl nekünk,
–    hogy amikor látható alakban ismerjük meg az IStent,
  a láthatatlan világ szeretetére gyulladjunk általa.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Az Ige testté lett, és láttuk dicsőségét. (Jn 1,14)
","Urunk, Istenünk, örvendezve ünnepeljük ma Megváltónk születését.
Kérünk, add kegyelmedet,
hogy hozzá méltó életünkkel
dicsőségében is részesüljünk.
Aki él és uralkodik mindörökkön örökké."
